EMD_CD,EMD_ENG_NM,EMD_KOR_NM
26410101,Dugu-dong,두구동
26410102,Nopo-dong,노포동
26410103,Cheongnyong-dong,청룡동
26410104,Namsan-dong,남산동
26410105,Seon-dong,선동
26410106,Oryun-dong,오륜동
26410107,Guseo-dong,구서동
26410108,Jangjeon-dong,장전동
26410109,Bugok-dong,부곡동
26410110,Seo-dong,서동
26410111,Geumsa-dong,금사동
26410112,Hoedong-dong,회동동
26410113,Geumseong-dong,금성동
26440101,Daejeo 1(il)-dong,대저1동
26440102,Daejeo 2(i)-dong,대저2동
26440103,Gangdong-dong,강동동
26440104,Myeongji-dong,명지동
26440105,Jungnim-dong,죽림동
26440106,Singman-dong,식만동
26440107,Jukdong-dong,죽동동
26440108,Bongnim-dong,봉림동
26440109,Songjeong-dong,강서구&송정동
26440110,Hwajeon-dong,화전동
26440111,Noksan-dong,녹산동
26440112,Saenggok-dong,생곡동
26440113,Gurang-dong,구랑동
26440114,Jisa-dong,지사동
26440115,Mieum-dong,미음동
26440116,Beombang-dong,범방동
26440117,Sinho-dong,신호동
26440118,Dongseon-dong,동선동
26440119,Seongbuk-dong,성북동
26440120,Nulcha-dong,눌차동
26440121,Cheonseong-dong,천성동
26440122,Daehang-dong,대항동
26470101,Geoje-dong,거제동
26470102,Yeonsan-dong,연산동
26500101,Mangmi-dong,망미동
26500102,Suyeong-dong,수영동
26500103,Millak-dong,민락동
26500104,Gwangan-dong,광안동
26500105,Namcheon-dong,남천동
26530101,Samnak-dong,삼락동
26530102,Mora-dong,모라동
26530103,Deokpo-dong,덕포동
26530104,Gwaebeop-dong,괘법동
26530105,Gamjeon-dong,감전동
26530106,Jurye-dong,주례동
26530107,Hakjang-dong,학장동
26530108,Eomgung-dong,엄궁동
26710250,Gijang-eup,기장읍
26710253,Jangan-eup,장안읍
26710256,Jeonggwan-eup,정관읍
26710259,Ilgwang-eup,일광읍
26710330,Cheolma-myeon,철마면
