SIG_CD,SIG_ENG_NM,SIG_KOR_NM
26110,Jung-gu,중구
26140,Seo-gu,서구
26170,Dong-gu,동구
26200,Yeongdo-gu,영도구
26230,Busanjin-gu,부산진구
26260,Dongnae-gu,동래구
26290,Nam-gu,남구
26320,Buk-gu,북구
26350,Haeundae-gu,해운대구
26380,Saha-gu,사하구
26410,Geumjeong-gu,금정구
26440,Gangseo-gu,강서구
26470,Yeonje-gu,연제구
26500,Suyeong-gu,수영구
26530,Sasang-gu,사상구
26710,Gijang-gun,기장군
