sgg_code,umd_code,sgg_name,umd_name,station_name,line_num,arsno,lat,lon,score,rank
26200,26200120,영도구,청학동,(주)거청,17,4178,35.09421993,129.067906,0.1760738337,5
26470,26470101,연제구,거제동,거성교차로,"1002(심야),131,80",13020,35.189834,129.0679846,0.1427306471,5
26230,26230102,부산진구,전포동,(구)대우자동차,54,5339,35.15814676,129.0680539,0.3124789193,4
26470,26470101,연제구,거제동,하마정,"10,1002(심야),111,129-1,131,31,43,44,506,52,77,80",13037,35.17674541,129.0680996,0.4451384866,3
26470,26470101,연제구,거제동,현대쌍용아파트,"105,54",13141,35.19316253,129.0681367,0.3968489387,4
26260,26260108,동래구,온천동,미남교차로.미남역,"1002(심야),111,44,80",6115,35.20605819,129.0681981,0.2873288236,4
26470,26470101,연제구,거제동,현대쌍용아파트,"105,50,54",13136,35.19340264,129.068199,0.4841231099,3
26200,26200120,영도구,청학동,영도구청,"101,113,186,190,30,30(심야),8,88(A),88-1A",4072,35.08937444,129.0682062,0.6367427390,2
26230,26230102,부산진구,전포동,부산진여자중학교,"160,54,85",5260,35.15531042,129.068216,0.2542448442,4
26260,26260108,동래구,온천동,미남역.반도스카이뷰,"1002(심야),111,111-1,131,189,210,33-1,44,46,50,57,80",6090,35.20542024,129.0682468,0.6083256333,2
26230,26230102,부산진구,전포동,동성고교,"160,54,85",5263,35.15175785,129.0682891,0.2103719486,4
26470,26470101,연제구,거제동,거제리안동네,"1002(심야),131,80",13022,35.18861714,129.068349,0.3373442086,4
26200,26200121,영도구,동삼동,동삼1동행정복지센터,"508,508(심야),6,7,70,71",4106,35.07560463,129.0686025,0.1968676270,5
26470,26470101,연제구,거제동,거성교차로.종합운동장역,"105,111,44,50",13017,35.19079457,129.0686887,0.2930608646,4
26200,26200121,영도구,동삼동,동삼3동주민센터,88-1A,4078,35.08435898,129.0687061,0.4027821801,3
26200,26200121,영도구,동삼동,동삼3동주민센터,88-1A,4079,35.08460596,129.0687562,0.4027821801,3
26470,26470101,연제구,거제동,거제리안동네,"1002(심야),131,80",13023,35.18749934,129.068925,0.3589944970,4
26230,26230101,부산진구,양정동,백조아파트,"131,179,63",5018,35.17393291,129.0689306,0.4082421267,3
26230,26230102,부산진구,전포동,부산마케팅고등학교,82,5267,35.15059335,129.0690121,0.2071184045,4
26260,26260109,동래구,사직동,여명중학교,"10,189,57",6132,35.19600978,129.0690796,0.2405200372,4
26200,26200121,영도구,동삼동,해동중학교,"113,508,508(심야),6,7,70,71",4118,35.07164405,129.0691712,0.2708222994,4
26260,26260108,동래구,온천동,사직성당,83-1,6241,35.20218424,129.0692978,0.3526235634,4
26470,26470101,연제구,거제동,동해선거제해맞이역,"10,1002(심야),111,129-1,131,31,43,44,506,52,77,80",13031,35.18177491,129.069405,0.4112457767,3
26230,26230102,부산진구,전포동,부산마케팅고등학교,82,5266,35.1500849,129.0694985,0.1211643253,5
26260,26260108,동래구,온천동,사직성당,83-1,6242,35.20223528,129.0695688,0.3526235634,4
26230,26230101,부산진구,양정동,양정역,"106,106(심야),110-1,141,141(심야),20,29,5-1,57,62,86,87,99",5704,35.17108961,129.0698764,0.3333078264,4
26230,26230101,부산진구,양정동,백조아파트,"131,179,63",5017,35.17368621,129.0699147,0.4795372496,3
26200,26200121,영도구,동삼동,조양아파트,"1006,113,508,508(심야),6,7,70,71",4120,35.07129839,129.0699516,0.4484672847,3
26230,26230101,부산진구,양정동,양정역,"106,106(심야),110-1,141,141(심야),20,29,5-1,57,62,86,87,99",5703,35.17153877,129.0699592,0.3333078264,4
26260,26260109,동래구,사직동,여명중학교,"10,189,57",6133,35.1958973,129.069993,0.2436290890,4
26290,26290109,남구,문현동,문현교차로,"10,108,138,24,83,83-1",7046,35.13713748,129.0701294,0.3793947911,4
26260,26260108,동래구,온천동,온샘초등학교,80,6060,35.20963817,129.0701688,0.3297572423,4
26200,26200121,영도구,동삼동,동삼시장,"101,113,190,30,30(심야),8,88(A)",4087,35.07941841,129.0701777,0.3170011319,4
