sgg_code,sgg_name,umd_code,umd_name,geometry,lat,lon,score,rank
26440,강서구,26440101,대저1동,"POLYGON ((128.94596546838423 35.218346073529936, 128.9459814588913 35.219247497088595, 128.94707991708293 35.2192343695925, 128.9470639144388 35.21833294646958, 128.94596546838423 35.218346073529936))",35.21879022250087,128.94652268968457,0.010204081632653,5
26440,강서구,26440103,강동동,"POLYGON ((128.90807309515236 35.187236041323224, 128.9080886487913 35.18813748441715, 128.90918670630674 35.18812471050535, 128.9091711405485 35.187223267835606, 128.90807309515236 35.187236041323224))",35.18768037685012,128.90862989768527,0.0,5
26440,강서구,26440101,대저1동,"POLYGON ((128.9500065692328 35.19846218998218, 128.95002259262876 35.19936361489427, 128.9511207810868 35.19935045716232, 128.95110474556577 35.19844903268709, 128.9500065692328 35.19846218998218))",35.198906324511555,128.9505636721137,0.0017006802721088,5
26440,강서구,26440103,강동동,"POLYGON ((128.91459885867263 35.18355348755053, 128.91461448225178 35.18445492865633, 128.91571248713905 35.18444209674061, 128.915696851443 35.18354065606095, 128.91459885867263 35.18355348755053))",35.183997793081765,128.91515566986212,0.0017006802721088,5
26440,강서구,26440102,대저2동,"POLYGON ((128.9438618131962 35.16156919520659, 128.94387774693385 35.162470628068064, 128.94497544224936 35.16245753794728, 128.9449594964085 35.16155610552064, 128.9438618131962 35.16156919520659))",35.162013367514625,128.94441862468219,0.0409013605442176,5
26440,강서구,26440104,명지동,"POLYGON ((128.89881254263824 35.095376942536106, 128.89882794154204 35.09627840289882, 128.89992477045834 35.0962657416322, 128.89990935948978 35.09536428169042, 128.89881254263824 35.095376942536106))",35.09582134301637,128.89936865351768,0.0051020408163265,5
26440,강서구,26440103,강동동,"POLYGON ((128.9403617385253 35.21210157533212, 128.94037766339642 35.21300300204992, 128.94147604018337 35.21298992740433, 128.94146010317883 35.21208850112055, 128.9403617385253 35.21210157533212))",35.21254575230725,128.94091888630626,0.0017006802721088,5
26440,강서구,26440118,동선동,"POLYGON ((128.83120238805665 35.05285903488807, 128.8312170197349 35.0537605270061, 128.83231331079014 35.0537484900028, 128.832298667071 35.052846998285204, 128.83120238805665 35.05285903488807))",35.05330376337126,128.83175784639943,0.3048894557823129,4
26440,강서구,26440104,명지동,"POLYGON ((128.91259658538195 35.13128245996185, 128.91261215669215 35.13218390963807, 128.91370946037665 35.13217111235371, 128.91369387698063 35.13126966310276, 128.91259658538195 35.13128245996185))",35.13172678709217,128.91315301984332,0.0,5
26440,강서구,26440107,죽동동,"POLYGON ((128.88280258732118 35.18662563207631, 128.88281786153019 35.187527084975606, 128.88391592267357 35.18751454036992, 128.88390063634512 35.18661308788719, 128.88280258732118 35.18662563207631))",35.18707008715702,128.88335925195332,0.0,5
26440,강서구,26440102,대저2동,"POLYGON ((128.93662599924227 35.12468854948517, 128.93664183151208 35.12558999071328, 128.93773903526514 35.12557697798116, 128.9377231909139 35.124675537185524, 128.93662599924227 35.12468854948517))",35.12513276466914,128.93718251421856,0.0551020408163265,5
26440,강서구,26440114,지사동,"POLYGON ((128.83480487012233 35.1393774814582, 128.83481958848955 35.140278959367244, 128.83591703665377 35.14026686401323, 128.83590230619433 35.139365386506086, 128.83480487012233 35.1393774814582))",35.13982217366454,128.8353609503513,0.0017006802721088,5
26440,강서구,26440109,강서구&송정동,"POLYGON ((128.85083453726756 35.11305226968404, 128.85084941784135 35.11395374558555, 128.8519465056937 35.11394151300476, 128.85193161304366 35.11304003750986, 128.85083453726756 35.11305226968404))",35.11349689227359,128.85139051844766,0.0715561224489795,5
26440,강서구,26440102,대저2동,"POLYGON ((128.9411577124502 35.132749391124484, 128.94117359939276 35.13365082935529, 128.94227090908413 35.13363777300628, 128.94225501005548 35.13273633520932, 128.9411577124502 35.132749391124484))",35.13319358300195,128.94171430773082,0.0051020408163265,5
26440,강서구,26440121,천성동,"POLYGON ((128.815608639365 35.03770102545005, 128.81562309155416 35.03860252550961, 128.81671918702799 35.03859063388269, 128.81670472280663 35.03768913421879, 128.815608639365 35.03770102545005))",35.038145830590544,128.8161639101748,0.0170068027210884,5
26440,강서구,26440121,천성동,"POLYGON ((128.90956049191894 35.209759292440346, 128.90957607496503 35.21066073159833, 128.91067443494535 35.2106479371191, 128.91065883976657 35.209746498385876, 128.90956049191894 35.209759292440346))",35.038145830590544,128.8161639101748,0.0170068027210884,5
26440,강서구,26440106,식만동,"POLYGON ((128.88626518599074 35.19650393007513, 128.88628050403767 35.1974053801808, 128.88737869649148 35.19739280112645, 128.8873633663193 35.196491351438446, 128.88626518599074 35.19650393007513))",35.21020361571638,128.91011746038453,0.0568027210884353,5
26440,강서구,26440107,죽동동,"POLYGON ((128.89687662100732 35.174742951699464, 128.89689204386175 35.17564440098177, 128.89798993863383 35.175631732477406, 128.89797450366734 35.174730283615844, 128.89687662100732 35.174742951699464))",35.196948366535274,128.8868219381956,0.0,5
26440,강서구,26440108,봉림동,"POLYGON ((128.9185395254644 35.09424607705729, 128.91855514083588 35.095147529932916, 128.91965194528868 35.095134690572976, 128.91963631785353 35.094233238124225, 128.9185395254644 35.09424607705729))",35.17518734302302,128.89743327677823,0.2174744897959183,4
26440,강서구,26440104,명지동,"POLYGON ((128.9061058243809 35.13676774379367, 128.90612132730504 35.137669195172634, 128.90721870765728 35.13765645493422, 128.90720319264386 35.13675500397861, 128.9061058243809 35.13676774379367))",35.09469038474879,128.91909573234597,0.7375,2
26440,강서구,26440103,강동동,"POLYGON ((128.83691892504254 35.067222577891975, 128.83693362736676 35.068124065770675, 128.83803010788972 35.0681119728166, 128.83801539351623 35.0672104853401, 128.83691892504254 35.067222577891975))",35.13721210029803,128.9066622629823,0.1003401360544217,5
26440,강서구,26440120,눌차동,"POLYGON ((128.84219465370202 35.05454119928446, 128.84220940709793 35.05544268710415, 128.84330571570928 35.05543055026086, 128.84329095027172 35.05452906284491, 128.84219465370202 35.05454119928446))",35.06766727628098,128.83747451344001,0.0068027210884353,5
26440,강서구,26440118,동선동,"POLYGON ((128.83003301994265 35.04836359690416, 128.83004763633448 35.04926509012002, 128.83114386784024 35.049253065020444, 128.8311292394102 35.04835157220466, 128.83003301994265 35.04836359690416))",35.05498587569936,128.84275018168137,0.0732142857142857,5
26440,강서구,26440118,동선동,"POLYGON ((128.978722340134 35.20713099321561, 128.97873868602798 35.20803240525113, 128.97983697707173 35.20801898424129, 128.97982061904807 35.20711757265133, 128.978722340134 35.20713099321561))",35.04880833188789,128.8305884408681,0.1163265306122449,5
